Partida,Resultado,Duración,Nombre Invocador,Campeón Utilizado,Nivel Campeón,Hechizo 1,Hechizo 2,Runa 1,Runa 2,Kills,Deaths,Assists,KP,KDA Ratio,Daño Realizado,Daño Recibido,Control Wards,Centinelas Colocados,Centinelas Destruidos,CS Total,CS por Min,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Trinket,Team,Side,Rol
1,Victoria,0:32:34,archbold1,Emerald 1,6.9,MVP,Riven,18,Destello,Prender,Conquistador,Brujería,10,6,11,50,3.50:1,36035,29287,5,17,0,230,7.1,Baile de la muerte,Fauces de Malmortius,Espadón,Eclipse,Botas jonias de la lucidez,Firmamento desgarrado,Guardián invisible,no,blue,TOP
1,Victoria,0:32:34,kingpower,Diamond 4,6.8,2nd,Shaco,16,Prender,Aplastar,Cometa arcano,Precisión,5,2,14,45,9.50:1,23502,23938,3,4,3,190,5.8,Vara innecesariamente grande,Impulso cósmico,Antorcha de fuego negro,Florescencia sepulcral,Botas jonias de la lucidez,N/A,Lente del oráculo,yes,blue,JG
1,Victoria,0:32:34,zetax,Diamond 4,4.9,6th,Ziggs,16,Teleportar,Destello,Primer golpe,Brujería,3,1,7,24,10.00:1,15824,10479,3,16,2,234,7.2,Sobrecarga tormentosa,Vara innecesariamente grande,Botas de hechicero,Compañera de Luden,Tomo amplificador,Reloj de arena de Zhonya,Visión lejana modificada,no,blue,MID
1,Victoria,0:32:34,matt suarez,Diamond 4,5.1,5th,Caitlyn,16,Barrera,Destello,Pies veloces,Brujería,11,13,9,48,1.54:1,29398,30440,5,16,0,204,6.3,Botas de rapidez,Recaudadora,Cañón de fuego rápido,Recordatorio letal,Sanguinaria,Sorbemaleficios,Visión lejana modificada,no,blue,ADC
1,Victoria,0:32:34,sunshine,Diamond 4,6.5,3rd,Pyke,14,Prender,Destello,Lluvia de cuchillas,Valor,13,6,10,55,3.83:1,17965,25826,4,41,12,42,1.3,Detracción celestial,Botas de mercurio,Filo fantasmal de Youmuu,Guja sombría,Fauces de Malmortius,Espada larga,Lente del oráculo,no,blue,SUPP
1,Victoria,0:32:34,chayyiel,Emerald 1,2.9,10th,Gwen,15,Teleportar,Prender,Conquistador,Dominación,3,10,6,32,0.90:1,15897,35754,1,8,9,211,6.5,Botas blindadas,Anillo de Doran,Diente de Nashor,Creagrietas,Sombrero mortal de Rabadon,N/A,Lente del oráculo,no,red,TOP
1,Victoria,0:32:34,yirso,Emerald 1,4.1,8th,Graves,15,Aplastar,Destello,Cosecha oscura,Precisión,8,10,7,54,1.50:1,17832,33518,3,5,9,197,6,Recaudadora,Filo fantasmal de Youmuu,Filo infinito,Cetro vampírico,Grebas de berserker,Pico,Lente del oráculo,no,red,JG
1,Victoria,0:32:34,hazen,Diamond 4,3.6,9th,Fizz,16,Destello,Prender,Electrocutar,Brujería,8,6,0,29,1.33:1,18157,22817,0,8,3,208,6.4,Botas de hechicero,Perdición del liche,Reloj de arena de Zhonya,Compañera de Luden,Joya de la plaga,Vara explosiva,Lente del oráculo,no,red,MID
1,Victoria,0:32:34,salsademango,Diamond 3,4.4,7th,Ezreal,15,Destello,Barrera,Ataque intensificado,Inspiración,6,9,8,50,1.56:1,28547,32272,3,7,5,209,6.4,Espada de Doran,Muramana,Fuerza de trinidad,Lanza de Shojin,Botas jonias de la lucidez,Espada larga,Lente del oráculo,no,red,ADC
1,Victoria,0:32:34,arthasdreemurr,Diamond 4,5.2,ACE,Nami,14,Destello,Curar,Invocar a Aery,Valor,3,7,17,71,2.86:1,11226,23706,1,19,6,30,0.9,Tejesueños,Lágrima de la diosa,Botas jonias de la lucidez,Mandato imperial,Núcleo albar,Capítulo perdido,Lente del oráculo,no,red,SUPP
